,state_code,state_name,county_code,county_name,aqi,state_code_int,county_code_int
1557,48,Texas,309,McLennan,1.0,48,309
1563,6,California,73,San Diego,6.0,6,73
1564,6,California,59,Orange,0.0,6,59
1569,42,Pennsylvania,21,Cambria,3.0,42,21
1571,48,Texas,439,Tarrant,5.0,48,439
1573,6,California,67,Sacramento,5.0,6,67
1574,48,Texas,453,Travis,6.0,48,453
1585,6,California,1,Alameda,6.0,6,1
1586,6,California,67,Sacramento,5.0,6,67
1588,6,California,55,Napa,8.0,6,55
1590,6,California,25,Imperial,2.0,6,25
1591,6,California,41,Marin,6.0,6,41
1592,6,California,13,Contra Costa,5.0,6,13
1593,48,Texas,29,Bexar,3.0,48,29
1595,6,California,37,Los Angeles,7.0,6,37
1596,48,Texas,439,Tarrant,5.0,48,439
1597,6,California,95,Solano,2.0,6,95
1600,42,Pennsylvania,101,Philadelphia,2.0,42,101
1603,6,California,19,Fresno,7.0,6,19
1612,42,Pennsylvania,3,Allegheny,9.0,42,3
1614,6,California,73,San Diego,5.0,6,73
1617,6,California,75,San Francisco,6.0,6,75
1618,48,Texas,29,Bexar,1.0,48,29
1619,6,California,27,Inyo,7.0,6,27
1622,48,Texas,439,Tarrant,5.0,48,439
1623,6,California,83,Santa Barbara,0.0,6,83
1625,6,California,53,Monterey,1.0,6,53
1626,42,Pennsylvania,69,Lackawanna,3.0,42,69
1628,6,California,37,Los Angeles,2.0,6,37
1635,6,California,67,Sacramento,3.0,6,67
1636,48,Texas,201,Harris,7.0,48,201
1637,6,California,59,Orange,3.0,6,59
1644,6,California,59,Orange,11.0,6,59
1648,6,California,37,Los Angeles,3.0,6,37
1649,42,Pennsylvania,21,Cambria,0.0,42,21
1650,6,California,83,Santa Barbara,5.0,6,83
1658,6,California,37,Los Angeles,5.0,6,37
1659,48,Texas,479,Webb,7.0,48,479
1660,48,Texas,479,Webb,9.0,48,479
1661,6,California,83,Santa Barbara,2.0,6,83
1662,48,Texas,245,Jefferson,2.0,48,245
1663,6,California,25,Imperial,2.0,6,25
1664,48,Texas,141,El Paso,1.0,48,141
1670,6,California,13,Contra Costa,6.0,6,13
1674,6,California,65,Riverside,2.0,6,65
1675,6,California,65,Riverside,1.0,6,65
1679,6,California,25,Imperial,3.0,6,25
1680,6,California,1,Alameda,3.0,6,1
1681,6,California,1,Alameda,6.0,6,1
1686,48,Texas,141,El Paso,2.0,48,141
1690,6,California,59,Orange,9.0,6,59
1692,6,California,83,Santa Barbara,3.0,6,83
1693,6,California,37,Los Angeles,2.0,6,37
1694,6,California,37,Los Angeles,3.0,6,37
1695,6,California,1,Alameda,5.0,6,1
1696,6,California,83,Santa Barbara,1.0,6,83
1697,6,California,73,San Diego,7.0,6,73
1698,6,California,73,San Diego,8.0,6,73
1714,6,California,59,Orange,3.0,6,59
1718,6,California,59,Orange,6.0,6,59
1719,6,California,37,Los Angeles,5.0,6,37
1720,6,California,19,Fresno,2.0,6,19
1723,42,Pennsylvania,3,Allegheny,3.0,42,3
