,state_code,state_name,county_code,county_name,aqi,state_code_int,county_code_int
827,37,North Carolina,67,Forsyth,18.0,37,67
828,37,North Carolina,119,Mecklenburg,16.0,37,119
829,37,North Carolina,183,Wake,8.0,37,183
830,39,Ohio,35,Cuyahoga,13.0,39,35
831,39,Ohio,113,Montgomery,6.0,39,113
832,40,Oklahoma,143,Tulsa,9.0,40,143
833,41,Oregon,29,Jackson,38.0,41,29
834,41,Oregon,39,Lane,25.0,41,39
835,41,Oregon,51,Multnomah,7.0,41,51
842,47,Tennessee,157,Shelby,11.0,47,157
843,47,Tennessee,157,Shelby,10.0,47,157
845,51,Virginia,710,Norfolk City,14.0,51,710
846,53,Washington,33,King,8.0,53,33
847,53,Washington,63,Spokane,32.0,53,63
848,55,Wisconsin,79,Milwaukee,7.0,55,79
849,1,Alabama,73,Jefferson,17.0,1,73
850,2,Alaska,90,Fairbanks North Star ,24.0,2,90
851,2,Alaska,90,Fairbanks North Star ,19.0,2,90
852,4,Arizona,19,Pima,7.0,4,19
869,8,Colorado,31,Denver,9.0,8,31
870,8,Colorado,59,Jefferson,3.0,8,59
871,9,Connecticut,3,Hartford,18.0,9,3
872,12,Florida,11,Broward,11.0,12,11
873,12,Florida,11,Broward,8.0,12,11
874,12,Florida,31,Duval,8.0,12,31
875,12,Florida,31,Duval,6.0,12,31
876,17,Illinois,163,Saint Clair,14.0,17,163
877,21,Kentucky,19,Boyd,9.0,21,19
878,24,Maryland,5,Baltimore,5.0,24,5
879,25,Massachusetts,17,Middlesex,10.0,25,17
880,25,Massachusetts,25,Suffolk,10.0,25,25
881,26,Michigan,81,Kent,5.0,26,81
882,27,Minnesota,37,Dakota,6.0,27,37
883,27,Minnesota,123,Ramsey,3.0,27,123
884,27,Minnesota,137,Saint Louis,8.0,27,137
885,32,Nevada,3,Clark,7.0,32,3
886,32,Nevada,3,Clark,0.0,32,3
887,32,Nevada,31,Washoe,22.0,32,31
888,34,New Jersey,17,Hudson,19.0,34,17
889,35,New Mexico,1,Bernalillo,33.0,35,1
890,35,New Mexico,1,Bernalillo,22.0,35,1
891,35,New Mexico,1,Bernalillo,1.0,35,1
892,36,New York,55,Monroe,15.0,36,55
893,36,New York,67,Onondaga,8.0,36,67
894,36,New York,81,Queens,9.0,36,81
895,37,North Carolina,67,Forsyth,10.0,37,67
896,37,North Carolina,67,Forsyth,13.0,37,67
897,37,North Carolina,119,Mecklenburg,10.0,37,119
898,39,Ohio,35,Cuyahoga,1.0,39,35
899,39,Ohio,61,Hamilton,2.0,39,61
900,39,Ohio,81,Jefferson,24.0,39,81
901,39,Ohio,153,Summit,6.0,39,153
902,39,Ohio,153,Summit,8.0,39,153
903,41,Oregon,29,Jackson,24.0,41,29
911,49,Utah,35,Salt Lake,8.0,49,35
912,51,Virginia,59,Fairfax,6.0,51,59
913,51,Virginia,510,Alexandria City,10.0,51,510
914,51,Virginia,760,Richmond City,5.0,51,760
915,51,Virginia,770,Roanoke City,10.0,51,770
916,53,Washington,33,King,9.0,53,33
917,54,West Virginia,29,Hancock,17.0,54,29
918,72,Puerto Rico,127,San Juan,34.0,72,127
919,72,Puerto Rico,127,San Juan,16.0,72,127
920,72,Puerto Rico,127,San Juan,7.0,72,127
921,80,Country Of Mexico,2,BAJA CALIFORNIA NORTE,5.0,80,2
922,2,Alaska,20,Anchorage ,15.0,2,20
923,2,Alaska,90,Fairbanks North Star ,5.0,2,90
924,4,Arizona,13,Maricopa,17.0,4,13
925,4,Arizona,13,Maricopa,5.0,4,13
926,4,Arizona,19,Pima,5.0,4,19
940,8,Colorado,59,Jefferson,5.0,8,59
941,8,Colorado,67,La Plata,5.0,8,67
942,11,District Of Columbia,1,District of Columbia,31.0,11,1
943,12,Florida,95,Orange,2.0,12,95
944,12,Florida,115,Sarasota,20.0,12,115
945,17,Illinois,143,Peoria,9.0,17,143
946,17,Illinois,163,Saint Clair,9.0,17,163
947,17,Illinois,201,Winnebago,8.0,17,201
948,18,Indiana,63,Hendricks,10.0,18,63
949,18,Indiana,97,Marion,9.0,18,97
950,20,Kansas,173,Sedgwick,18.0,20,173
951,25,Massachusetts,27,Worcester,9.0,25,27
952,26,Michigan,125,Oakland,7.0,26,125
953,27,Minnesota,3,Anoka,2.0,27,3
954,27,Minnesota,145,Stearns,8.0,27,145
955,29,Missouri,77,Greene,24.0,29,77
956,30,Montana,13,Cascade,7.0,30,13
957,30,Montana,29,Flathead,13.0,30,29
958,32,Nevada,3,Clark,16.0,32,3
959,32,Nevada,3,Clark,26.0,32,3
960,32,Nevada,31,Washoe,25.0,32,31
